"filename", "language", "JSON", "JavaScript", "Groovy", "Batch", "Properties", "Objective-C", "XML", "C++", "Java", "comment", "blank", "total"
"d:\OneDrive\Rdms Trucs de code\ReactNative\MusicPlayer\.eslintrc.js", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"d:\OneDrive\Rdms Trucs de code\ReactNative\MusicPlayer\.prettierrc.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"d:\OneDrive\Rdms Trucs de code\ReactNative\MusicPlayer\.watchmanconfig", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\OneDrive\Rdms Trucs de code\ReactNative\MusicPlayer\App.js", "JavaScript", 0, 93, 0, 0, 0, 0, 0, 0, 0, 23, 23, 139
"d:\OneDrive\Rdms Trucs de code\ReactNative\MusicPlayer\__tests__\App-test.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 4, 4, 15
"d:\OneDrive\Rdms Trucs de code\ReactNative\MusicPlayer\android\app\build.gradle", "Groovy", 0, 0, 87, 0, 0, 0, 0, 0, 0, 111, 22, 220
"d:\OneDrive\Rdms Trucs de code\ReactNative\MusicPlayer\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 3, 9
"d:\OneDrive\Rdms Trucs de code\ReactNative\MusicPlayer\android\app\src\debug\java\com\musicplayer\ReactNativeFlipper.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 59, 8, 6, 73
"d:\OneDrive\Rdms Trucs de code\ReactNative\MusicPlayer\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 4, 35
"d:\OneDrive\Rdms Trucs de code\ReactNative\MusicPlayer\android\app\src\main\java\com\musicplayer\MainActivity.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 3, 17
"d:\OneDrive\Rdms Trucs de code\ReactNative\MusicPlayer\android\app\src\main\java\com\musicplayer\MainApplication.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 60, 12, 9, 81
"d:\OneDrive\Rdms Trucs de code\ReactNative\MusicPlayer\android\app\src\main\java\com\musicplayer\MediaModule.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 150, 10, 39, 199
"d:\OneDrive\Rdms Trucs de code\ReactNative\MusicPlayer\android\app\src\main\java\com\musicplayer\MediaPackage.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 2, 5
"d:\OneDrive\Rdms Trucs de code\ReactNative\MusicPlayer\android\app\src\main\java\com\musicplayer\MusicService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 55, 15, 14, 84
"d:\OneDrive\Rdms Trucs de code\ReactNative\MusicPlayer\android\app\src\main\java\com\musicplayer\ToastModule.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 53, 14, 19, 86
"d:\OneDrive\Rdms Trucs de code\ReactNative\MusicPlayer\android\app\src\main\java\com\musicplayer\ToastPackage.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 9, 31
"d:\OneDrive\Rdms Trucs de code\ReactNative\MusicPlayer\android\app\src\main\java\com\musicplayer\data\Song.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 7, 41
"d:\OneDrive\Rdms Trucs de code\ReactNative\MusicPlayer\android\app\src\main\java\com\musicplayer\service\MediaService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 373, 199, 120, 692
"d:\OneDrive\Rdms Trucs de code\ReactNative\MusicPlayer\android\app\src\main\res\values\strings.xml", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"d:\OneDrive\Rdms Trucs de code\ReactNative\MusicPlayer\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 5, 0, 0, 2, 3, 10
"d:\OneDrive\Rdms Trucs de code\ReactNative\MusicPlayer\android\build.gradle", "Groovy", 0, 0, 29, 0, 0, 0, 0, 0, 0, 5, 4, 38
"d:\OneDrive\Rdms Trucs de code\ReactNative\MusicPlayer\android\gradle.properties", "Properties", 0, 0, 0, 0, 3, 0, 0, 0, 0, 19, 7, 29
"d:\OneDrive\Rdms Trucs de code\ReactNative\MusicPlayer\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"d:\OneDrive\Rdms Trucs de code\ReactNative\MusicPlayer\android\gradlew.bat", "Batch", 0, 0, 0, 78, 0, 0, 0, 0, 0, 0, 26, 104
